Date,temperature,anomoly
6/19/2023 18:00,16.758,0.3663
6/20/2023 0:00,16.268,0.3708
6/20/2023 6:00,16.543,0.3482
6/20/2023 12:00,16.893,0.3006
6/20/2023 18:00,16.749,0.3429
6/21/2023 0:00,16.329,0.4166
6/21/2023 6:00,16.606,0.3982
6/21/2023 12:00,16.983,0.3778
6/21/2023 18:00,16.783,0.3615
6/22/2023 0:00,16.353,0.4268
6/22/2023 6:00,16.645,0.4249
6/22/2023 12:00,17.022,0.4048
6/22/2023 18:00,16.846,0.4136
6/23/2023 0:00,16.293,0.3556
6/23/2023 6:00,16.703,0.4714
6/23/2023 12:00,17.038,0.412
6/23/2023 18:00,16.868,0.4256
6/24/2023 0:00,16.393,0.4445
6/24/2023 6:00,16.68,0.4385
